lat,lng,name,photo_ref,rating,user_rating_total,vicinity,place_id,types
48.8577028,2.2746534,Le Traiteur du Bois le Vent,CmRaAAAA8mWmr11Dtv7YQtCEyB8vgc7FlA6B8TK-P2q4bJqQ8ld_48qpXyRud73x5wZLa_HAqYqrxEnLgxIou3Z65hrPJXIMqNQdub8HydtKAYMepQqunVK8mxz-7ju1IGcMXnNFEhBkISnR1fvD7824wsfbniUNGhQ6OD-Z4UIDvA-aHA8hqFGPtGPdeQ,4.6,140,"63 Rue de Boulainvilliers, Paris",ChIJi6lZK1Vl5kcRmOBWkypehY0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8627273,2.2761935,PAUL,CmRaAAAAQ3uXhHKvr_LpzFOi8D6pF9ts4DDn9v6Lq0Ucw-z7jn3EOpsDyirLTZmAtIwldY60cJ-cO9d7EY0xjMcTrG665SiO-EGvDh8kr7gEvUIh_MvQL9MRQK7TTuIL9tSaGdqbEhA8WU50K_04D9su2qKbTaoDGhSCPo7hHm9AOcMQJNUj8tEHmEf-UQ,4,118,"61 Rue de la Pompe, Paris",ChIJAUH9ClZl5kcRcxIsTnuiKps,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
48.858417,2.273042,La Rotonde de la Muette,CmRZAAAAVYmEYGbhj9OTLhzRRI9rrQIrTrD2iE7TjXSupz-ckoxCFEcCFbIo_W-l4JSIXxzRj_jPMnAeUhlv26DodiKtwNbharNA1ag0lFjjsTl1yvUD9NpmaPaIc83qCC2YVysGEhDKm-zhSOVHWskI1o74iQWsGhQL4LeKcNrA1Xp3GYMFLPNah_F9aw,4,747,"12 Chaussée de la Muette, Paris",ChIJa_51uFRl5kcRkuGS2GFCFEY,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.862745,2.273323,Les Filaos,CmRZAAAA8bQDXvwGwp8WVxyjfdLcLRJUF29e1VWOeOM-vc3qrFuW_t6pt88CrEpeAHkZPbWYrKaLgZV-HGn_5KMrS2wEIXPrO-Qntk22KP-Y37XGdWh-2xrx41-nSOio4RuWPyzaEhDBP85lHAqJtE0LuGkASolgGhSF2Wdjdc81NO7UFUodUbP2nlgb7A,4.3,193,"5 Rue Guy de Maupassant, Paris",ChIJPcovoFZl5kcR3602WxjLOTM,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
48.8601822,2.2748494,Restaurant Bon,CmRaAAAA458fbpZUHAKaquUJCINJMuicNYbKB1hPE6YP1fABaN9QFHduJ2yxGD1plfYzQW4KNSLfFcA9ajc2gX6swPaUH9OaiwfWNQ6eY8-_hKMWIAUjoznwwD5nxu6TVhzOD5DGEhBzeJftd-RCLlhymXnt2mePGhSbewiqB27A_KGoPvsJyD_dDZYqog,4.3,555,"25 Rue de la Pompe, Paris",ChIJkbVMqVVl5kcRmF-iadbv-v4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8595973,2.2761502,Domino's Pizza,CmRZAAAAtWhhm99las-D3Pd34QASBs-9VEsTa13wH6vgS-ZbReVxNF3LvYVz0TerTmtiuEqF28UMAJoZGxg1BPhWawpCLWmdCH4CC6iog0Sq8LIoqt-CAnZThytgOItgREci4B5gEhBU673Dkirsm-sw07teBABDGhSUaBoOifKo5UL2LYj4WP8CPrUC4Q,3.3,165,"50 Rue Desbordes-Valmore, Paris",ChIJpw-HbVVl5kcRn3eLoq322_U,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
48.8663019,2.2815326,Le 16e Sens,CmRaAAAAsofFw9VzhCg1cPtHsjEe7XIectDyo3xDfa2YxHoXuf_iizDUMms6XvXgI7e7KqpP3vyYNTxWgFMihRdTPyCwezB9geATymdfR4ar5b8Fxya93QMH6fOgAhZ_g_M7n1Q3EhAOp1AdxKDEL-RvmqGWKR4RGhQmf10vB3sOxv7KZ_GpWz57KSmzpA,4.2,45,"3 Rue Gustave Courbet, Paris",ChIJj0MKx_lv5kcRxAGZA8yXyvY,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
48.86230630000001,2.2762822,Subway,CmRaAAAAcSBC1T-Ed-eO1izuSQAKpJx7Ldy-E1ut5m_3sBZB8WOYf9bpe8vt159_y6yJOCMBvq9pDyqEzpveNJL3h8tNeLEGH-7nQe7SC2Emi8xOZAbmuDEaq1eaWvRUK8oHihncEhAbBFUar8p0bvfsha5B1PTJGhQYDbUX4hKJe8KSUtXLl_RHPAEqcw,3.5,137,"58 Rue de la Pompe, Paris",ChIJn1W43VVl5kcR1IDfz6Dz8ko,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8615361,2.2754173,Ciro Bistro italiano,CmRaAAAAVAXsIgrzp5XQ928whdIHqDDWZwd3nhBIW0_qQODo2BVKTRgD0H-XwsyYnxq1kpN2UZ2DGeAOILSS0qmJ__o-9lp2OYBTd_cB5psoWrTyDGuv3eKKqoE_7tw84YGsUaneEhCTPVEGStNb2P8VMQjXGnp8GhR1I5EEh1rfW_TBJxYmxD0V9hKviw,4,226,"43 Rue de la Pompe, Paris",ChIJJbOwx1Vl5kcR4jWTLouizCo,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8666029,2.281655999999999,La Villa K,CmRaAAAA87qxqqDa8Sm_v4FNnAwVtHFwEMa6GYQF8vPkphEiZufLtLOK9LSSzIecXgvjt22mAR4koJfS2K-2JdB7E5tmiqQzL-_iEStvboA0BTvFQFdjec2MkzBHR-WjEJGOhtTkEhDviVzngrdHhETD8bjpxVkOGhQj7GOdhcQ39OSWs6qzRPBH0xUHWA,4.4,154,"14 Rue Gustave Courbet, Paris",ChIJC0mexvlv5kcRQs3ETo3yL5k,"['restaurant', 'food', 'point_of_interest', 'establishment']"
