lat,lng,name,photo_ref,rating,user_rating_total,vicinity,place_id,types
48.8581336,2.2722835,Restaurant La Gare,CmRZAAAATyOhDWRBhmtMpe9fPwEDAo_Rt_2cERdDSVF9giW6VEdCduGh-sPtl4-gCPJPGORXp3vsP7VGUne2Do365rcswYmtX9rH5Hc_2q12E-Al2uf714GRQlF_Cr4ePCZv7VqvEhA7OgqDdD7hkt0aOEt6_coxGhQXEUD7byYy7xgvT_ElocmWnz2Tlw,3.9,1055,"19 Chaussée de la Muette, Paris",ChIJ6RIysFRl5kcRgTQU1vLwwWg,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']"
48.8601822,2.2748494,Restaurant Bon,CmRaAAAAkRvXVpMNfvptMi6X7y0bPDGpCK7dfs7dqlkXMHCxDlhglK5kdav2MgQAwfP2RqeAs4zuU633MMKbnMiEW9qQCdziAm2DTG9kQ58lBtztIOuFR6DpKI2PGtooT47t8sEtEhDPfmW9BjeCmoh_FT3B0tAAGhR_qJ7s8r2nNMe2P7P8HOCiWiCv8w,4.3,556,"25 Rue de la Pompe, Paris",ChIJkbVMqVVl5kcRmF-iadbv-v4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8583814,2.273241,Le Grand Bistro de la Muette,CmRaAAAAh79IeKjeqRiYwlG4Stg2P_AwgMYAFLzrklYTwHQ7XPja94i95pNm_rEmHY5iBsZ9O7ujKonCzsWkDrd9Myb4l8w_qq1E0wXQLik6W1zz30vHYI5aF_W3O0Kqa24ruwlHEhCnV9yDHFhA7ri0sLUhPX_NGhTY3DTNX62nb_YyE00fpjVePA87Zg,3.7,294,"10 Chaussée de la Muette, Paris",ChIJ7YtCz1Rl5kcRkBHPFAgkJyk,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
48.8595973,2.2761502,Domino's Pizza,CmRZAAAAR2JY1Gg2I-5cOBg__siv02P6Mo5NfEVFo_TzkxK8uDSx0JlWvQ63uY84pkSgf8SOh1aTaj5zCdgTe9yFRb2LfgQu8kingZBJF8iIU04_PdW4jmBls7dzYvk09M6PntRlEhDLog4imV_wkpCZQQpJDdHgGhT8D7iH2Gf0pbzxCDKgFSk41i1G-w,3.3,165,"50 Rue Desbordes-Valmore, Paris",ChIJpw-HbVVl5kcRn3eLoq322_U,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
48.857501,2.274929,Kura,CmRaAAAAoNGOUyOBVu7Q0lUOXKr8kQ_OWM4T0BbqljK_RjDxl8Qx0Q-9uDIdFKrL4b_Bgrw-0W4mSay9MmGuZ3aTJZRNTRcknVYwZ_1EQ4576ibYewJan3VEXwO4G0_Ne_CVXjOOEhBOTSPXchj9mhxAWko_ZBu2GhSYZ4Szd5hrZhSn8yt46dQ0T5-vCg,4.4,176,"56 Rue de Boulainvilliers, Paris",ChIJx4rm0qp65kcR7eDhk7gz0iA,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.856894,2.2776,Settebello,CmRaAAAAEAwbpm3caPsNccANOBVhS--7WEK_cRCqCDxMi0KHGyupWDJeZmuHMTT2E4zg4NQeUxk4IO7Ig78RwlPmgADsXhzwPXUshEWdEYUDggCJiNRRLRUhfsfEImi_NZuhx7grEhBvRyjs0JeoCdKRTL9DSatxGhQ6NvDbw8veh482KqNSfzP-TfthFg,4.6,97,"9 Rue Duban, Paris",ChIJNzSHDwBw5kcRidqYbXaGCAA,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8615361,2.2754173,Ciro Bistro italiano,CmRaAAAACtHaSc1_3Ih2bl9mKxMuSMqy4V6EF65PS_Eo2nt7tAWFyyH9E2XPL2wlMPCMrcriQgkVWlQUqLsTnsoVzpqk81KfiMHX8hGGuoOBgMWG_D2D1UHcjDO9fFmwOTS04W4MEhDkBI_0jS67bN87HlzzAMHaGhTpAZ1UPBplkAaFqUDI3fZA27-J3Q,4,228,"43 Rue de la Pompe, Paris",ChIJJbOwx1Vl5kcR4jWTLouizCo,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.86230630000001,2.2762822,Subway,CmRaAAAAEfMHM2QLLkAiLMLx-M4FhGttITgYfkWsmb4RaTLPxBwneaTJ1xjOtPb8Dk17smGY3mIn-kia37h-tPKrE9wuGWntkFZzzTAUjnl_aahw-FAFsolIsdO5rs7S4X-82SLiEhBgs6XJfmt8rBzxbC40KYjXGhQSLcc7IKmZaSX3z1KuznvHgZNcjw,3.5,137,"58 Rue de la Pompe, Paris",ChIJn1W43VVl5kcR1IDfz6Dz8ko,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.857525,2.2746644,Pizza Oro,CmRaAAAAIJzSNBdh2hX1BWYr5YvlxYcTXozQbTeEzGr0XyhXmzcc1RUQo1ICgoOMFPkA03HpVDL9m0pywbw4TNu7xaBOh1xQd4I31qEfDgnFmh7YQLxT2UKuwgW0zrtMllPFFgSOEhCoD6PWudAgT8QKlY4grWpLGhQOMkmbAARS-xgvhCKfdwliGZbJRQ,4.5,57,"59 Rue de Boulainvilliers, Paris",ChIJCy3d1Kp65kcRU8rd-TmwthU,"['restaurant', 'food', 'point_of_interest', 'establishment']"
48.8575305,2.2754763,Big buddha,CmRaAAAAGY9komcnfVn_Qiuh_h-Y7aVRyU21FBhO0AeB5tynvRUWd9l4z6g_0QJv7Ws-X5m0k5z_e_qiJHnoRKX1Y0rm56V7g-2PwPPE9s7iY2qd58-kgun1aqqSK6KnhiuSptV5EhAvxocTZ-6QiB_MUueDw4PNGhQYKpTtT39eSq0tdDglgnJ9zyVlMA,4.3,220,"17 Rue Bois le Vent, Paris",ChIJaxZCy6p65kcRYAwbmm__ds8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
